Name,Num of works
"A. Briss, Peter",1
"Aaby, Katherine A.",1
"AACR, Communications Staff",2
"Aagerstoun, Mary  Jo",1
"Aalsma, M. C.",1
"Aamlid, Kaare",1
"Aaron, Philbert",1
"Abada, Elikplim",1
"Abbasi, Bahman",1
"Abbazio, Jessica M.",1
"Abbazio, Jessica Marie",1
"Abbiw-Jackson, Roselyn Mansa",1
"Abbott, D.",8
"Abbott, D.J.",2
"Abbott, Jennifer",1
"Abbott, Scott B.",1
"Abbott, Scott Bradley",1
"Abbott, Traci B.",1
"Abboud, Samir",1
"Abd ElMoez Hassanein, Sally",1
"Abd-El-Hafiz, S.K.",2
"Abdalla, Hana",1
"Abdalla, Hisham Ahmed Nabil",1
"Abdallah, Mohamed Mahmoud",1
"Abdel Azim Yousief Abdel Rehim, Moustafa Amin",1
"Abdelaziz, Omar A.",1
"Abdelhafez, Ahmed",1
"Abdelkader, Mohamed F.",2
"Abdelrazek, Ahmed Abdelkader",1
"Abdelziz, Khaled Mohamed-Refaat",1
"Abdi Dezfooli, Nassim",1
"Abdilleh, Kawther",1
"Abdo, Carla Beth",1
"Abdollahi, Cyrus",1
"Abdou, Cleopatra M",1
"Abdoun, Seifed-Din Shehadeh",1
"Abdul Rasheed, Mohamed Mohideen",2
"Abdulla, Sarah Roetzel",1
"Abdullah, Nur Qasdina  Jeeta",1
"Abdullah, Yaqoub",1
"Abdulrehem, Mahmoud M.",1
"AbdulSabur, Nuria",1
"Abe, Oluwole",2
"Abed, Eyad H.",63
"Abedin, Golnar",1
"Abedinisohi, Farshad",1
"Abel, G",1
"Abeles, R.",1
"Abelson, Herbert Irving",1
"Abelson, J. M.",1
"Abelson, Jamie M.",1
"Abente, Eugenio",1
"Abera, Nicole Taylor",1
"Aberle, Laura H.",1
"Abesamis, Noilyn.",1
"Abeya, Jasmine Edwina",1
"Abeye, Binyam",1
"Abhishek, Abhishek",1
"Abi Assali, Wuendy",1
"Abney, Ann",1
"Abo Zaid, Salem M.",1
"Abolafia, Julia",1
"Abolhassani, Melika",1
"AbouSaleh, Samer",1
"Aboutabl, Mohamed",1
"Abraham, Ajay Thomas",1
"Abraham, Eytan",2
"Abraham, Joel",1
"Abraham, Linn",1
"Abraham, Risa Dessel",1
"Abrahim, Zeinab Emad",1
"Abram, Karen M",1
"Abrams, Barbara",1
"Abrams, D. B.",1
"Abrams, David B",1
"Abrams, Judith",1
"Abrams, Laura S",1
"Abrams, M. A.",1
"Abras, Ana Luisa",1
"Abshire, Pamela",1
"Abu Sarah, Christiane Marie",1
"Abu Taleb, Tagreed Fathi",1
"Abu-Douleh, Alia Marie",1
"Abulafia, Ovadia",1
"Abuzainab, Nof",1
"Acar, Yasemin",1
"Ace, Rachel",1
"Acerbi, Patricia",1
"Acevedo, Elizabeth",1
"Acevedo, Marcela C.",1
"Acevedo, Summer Anne",1
"Acharya, Anurag",15
"Acharya, Priyanka",1
"Acharya, Sushant",1
"Acharya, Swarup",1
"Acharya, Tinku",2
"Acheampong, Abenaa",1
"Acheampong, Maud",1
"Acheson, Donald Theodore",1
"Achter, PJ",1
"ACHTERBERG, CHERYL",1
"Achuthan, Vasudevan",1
"Acker, Julia Robertson",1
"Acker-Ball, Shawna Lynn",1
"Ackerman, Elizabeth",1
"Ackerman, J.",1
"Ackerman, John P",1
"Ackermann, Christopher Florian",1
"Ackerson, Leland K",1
"Ackerson, Leland K.",1
"Ackerson, Lynn M.",1
"Ackman, Moshe",1
"Acquah, Enoch A.",1
"Acton, K. J.",1
"Acton, Kelly",1
"Acuña, Kierstin",2
"ADAIR, HEATHER",1
"Adair, Jordan",1
"Adali, Sibel",3
"Adalja, Aaron",1
"Adalja, Aaron Ashok",1
"Adam, Debbie",1
"Adam, Rebecca",1
"Adam, T. C.",1
"Adam, Tanja C.",1
"Adams, A.",1
"Adams, Bertha",1
"Adams, Brandi Kristine",1
"Adams, Brandie",1
"Adams, Brittini",2
"Adams, Cecily Darden",1
"Adams, CM",1
"Adams, Danielle",2
"Adams, Danielle Margret",1
"Adams, Devon",1
"Adams, E Kathleen",1
"Adams, Elizabeth J",1
"Adams, G.",1
"Adams, Gina",1
"Adams, Greg C.",1
"Adams, Heather Lynn",1
"Adams, Jerry",1
"Adams, John L.",1
"Adams, John Robert",1
"Adams, Katherine R.",1
"Adams, Kenneth F.",1
"Adams, Kevin",1
"Adams, Kimberly A",1
"Adams, Kimberly Anne",1
"Adams, Kristina",1
